,Mean ($),Management Fee ($),Trading Fee ($),Total Fees ($),Net Mean Value ($)
Year 23 Month 3,3767737.1713433866,6279.561952238978,188.38685856716936,6467.948810806147,3761269.2225325806
Year 23 Month 4,3784060.846840526,6306.768078067544,189.20304234202632,6495.97112040957,3777564.8757201163
Year 23 Month 5,3801216.0727071725,6335.360121178621,190.06080363535864,6525.42092481398,3794690.6517823585
Year 23 Month 6,3821185.228732458,6368.64204788743,191.0592614366229,6559.701309324053,3814625.5274231336
Year 23 Month 7,3842217.891329384,6403.696485548973,192.11089456646923,6595.807380115442,3835622.0839492683
Year 23 Month 8,3862364.1210474707,6437.273535079118,193.11820605237355,6630.3917411314915,3855733.7293063393
Year 23 Month 9,3886830.507409973,6478.050845683289,194.34152537049866,6672.392371053787,3880158.1150389193
Year 23 Month 10,3903658.0003636996,6506.096667272833,195.182900018185,6701.279567291018,3896956.7207964086
Year 23 Month 11,3921829.5457277694,6536.382576212949,196.09147728638848,6732.474053499338,3915097.07167427
Year 23 Month 12,3938065.5763452654,6563.44262724211,196.9032788172633,6760.345906059373,3931305.230439206
Year 24 Month 1,3955960.4969236846,6593.267494872808,197.79802484618423,6791.065519718993,3949169.4314039657
Year 24 Month 2,3973304.8528787848,6622.174754797975,198.66524264393925,6820.839997441914,3966484.012881343
Year 24 Month 3,3990379.6210666387,6650.632701777731,199.51898105333197,6850.151682831063,3983529.469383808
Year 24 Month 4,4015173.4110374246,6691.955685062375,200.75867055187123,6892.714355614246,4008280.6966818105
Year 24 Month 5,4032724.689743083,6721.207816238472,201.63623448715418,6922.844050725626,4025801.8456923575
Year 24 Month 6,4050163.9888221803,6750.273314703634,202.50819944110904,6952.781514144744,4043211.2073080353
Year 24 Month 7,4070005.732837791,6783.342888062985,203.50028664188957,6986.843174704875,4063018.8896630863
Year 24 Month 8,4086851.9184717457,6811.419864119576,204.3425959235873,7015.762460043164,4079836.1560117025
Year 24 Month 9,4110234.327556435,6850.390545927392,205.51171637782176,7055.902262305213,4103178.4252941296
Year 24 Month 10,4137595.6663983017,6895.9927773305035,206.8797833199151,7102.872560650419,4130492.793837651
Year 24 Month 11,4161050.679426215,6935.084465710359,208.05253397131077,7143.136999681669,4153907.5424265335
Year 24 Month 12,4182161.9722913546,6970.2699538189245,209.10809861456775,7179.3780524334925,4174982.594238921
Year 25 Month 1,4198608.951369308,6997.6815856155135,209.9304475684654,7207.612033183979,4191401.339336124
Year 25 Month 2,4217474.832816781,7029.124721361301,210.87374164083903,7239.998463002141,4210234.8343537785
Year 25 Month 3,4235497.670656792,7059.1627844279865,211.7748835328396,7270.937667960826,4228226.732988831
Year 25 Month 4,4253660.123790782,7089.433539651303,212.6830061895391,7302.116545840842,4246358.007244941
Year 25 Month 5,4271015.076314539,7118.358460524231,213.55075381572698,7331.909214339958,4263683.167100199
Year 25 Month 6,4292929.63537475,7154.882725624584,214.64648176873752,7369.5292073933215,4285560.1061673565
Year 25 Month 7,4312874.003861583,7188.123339769305,215.64370019307916,7403.767039962384,4305470.236821621
Year 25 Month 8,4339624.381348946,7232.707302248244,216.98121906744734,7449.688521315691,4332174.692827631
Year 25 Month 9,4361385.436446396,7268.97572741066,218.06927182231982,7487.0449992329795,4353898.391447163
Year 25 Month 10,4378252.851995983,7297.088086659973,218.91264259979917,7516.000729259772,4370736.851266723
Year 25 Month 11,4401497.249046156,7335.828748410261,220.07486245230783,7555.903610862569,4393941.345435293
Year 25 Month 12,4417531.454530057,7362.552424216761,220.87657272650284,7583.428996943264,4409948.025533114
